"user","datetime","stage_duration","stage"
"ASFODQR","2024-02-11 04:49:00",120,"light"
"ASFODQR","2024-02-11 04:51:00",30,"wake"
"ASFODQR","2024-02-11 04:54:00",60,"wake"
"ASFODQR","2024-02-11 04:57:00",150,"wake"
"ASFODQR","2024-02-11 05:03:00",30,"wake"
"ASFODQR","2024-02-11 05:03:30",510,"light"
"ASFODQR","2024-02-11 05:12:00",2940,"deep"
"ASFODQR","2024-02-11 06:01:00",60,"wake"
"ASFODQR","2024-02-11 06:02:00",900,"light"
"ASFODQR","2024-02-11 06:17:00",270,"rem"
"ASFODQR","2024-02-11 06:21:30",60,"light"
"ASFODQR","2024-02-11 06:22:30",30,"wake"
"ASFODQR","2024-02-11 06:28:30",30,"wake"
"ASFODQR","2024-02-11 06:29:00",450,"light"
"ASFODQR","2024-02-11 06:36:30",1200,"deep"
"ASFODQR","2024-02-11 06:56:30",90,"light"
"ASFODQR","2024-02-11 06:58:00",30,"wake"
"ASFODQR","2024-02-11 07:03:00",30,"wake"
"ASFODQR","2024-02-11 07:19:30",30,"wake"
"ASFODQR","2024-02-11 07:20:00",180,"light"
"ASFODQR","2024-02-11 07:23:00",300,"rem"
"ASFODQR","2024-02-11 07:28:00",30,"wake"
"ASFODQR","2024-02-11 07:49:30",30,"wake"
"ASFODQR","2024-02-11 07:54:00",30,"wake"
"ASFODQR","2024-02-11 08:10:00",60,"wake"
"ASFODQR","2024-02-11 08:11:00",780,"light"
"ASFODQR","2024-02-11 08:24:00",300,"rem"
"ASFODQR","2024-02-11 08:29:00",1140,"light"
"ASFODQR","2024-02-11 08:48:00",360,"rem"
"ASFODQR","2024-02-11 08:54:00",1590,"light"
"ASFODQR","2024-02-12 00:49:00",30,"wake"
"ASFODQR","2024-02-12 00:49:30",810,"light"
"ASFODQR","2024-02-12 01:03:00",690,"deep"
"ASFODQR","2024-02-12 01:14:30",1200,"light"
"ASFODQR","2024-02-12 01:34:30",420,"deep"
"ASFODQR","2024-02-12 01:41:30",480,"light"
"ASFODQR","2024-02-12 01:49:30",30,"wake"
"ASFODQR","2024-02-12 01:50:00",120,"light"
"ASFODQR","2024-02-12 01:52:00",420,"rem"
"ASFODQR","2024-02-12 01:59:00",30,"wake"
"ASFODQR","2024-02-12 02:05:00",30,"wake"
"ASFODQR","2024-02-12 02:11:00",60,"wake"
"ASFODQR","2024-02-12 02:15:00",30,"wake"
"ASFODQR","2024-02-12 02:40:30",30,"wake"
"ASFODQR","2024-02-12 02:49:30",30,"wake"
"ASFODQR","2024-02-12 02:50:00",480,"light"
"ASFODQR","2024-02-12 02:58:00",750,"deep"
"ASFODQR","2024-02-12 03:10:30",240,"light"
"ASFODQR","2024-02-12 03:14:30",30,"wake"
"ASFODQR","2024-02-12 03:18:30",30,"wake"
"ASFODQR","2024-02-12 03:19:00",270,"light"
"ASFODQR","2024-02-12 03:23:30",210,"rem"
"ASFODQR","2024-02-12 03:27:00",30,"wake"
"ASFODQR","2024-02-12 03:37:00",30,"wake"
"ASFODQR","2024-02-12 03:44:00",30,"wake"
"ASFODQR","2024-02-12 03:51:00",30,"wake"
"ASFODQR","2024-02-12 04:00:00",30,"wake"
"ASFODQR","2024-02-12 04:00:30",690,"rem"
"ASFODQR","2024-02-12 04:12:00",690,"light"
"ASFODQR","2024-02-12 04:23:30",30,"wake"
"ASFODQR","2024-02-12 04:26:30",30,"wake"
"ASFODQR","2024-02-12 04:27:00",1050,"light"
"ASFODQR","2024-02-12 04:44:30",810,"deep"
"ASFODQR","2024-02-12 04:58:00",300,"wake"
"ASFODQR","2024-02-12 05:03:00",480,"light"
"ASFODQR","2024-02-12 05:11:00",330,"deep"
"ASFODQR","2024-02-12 05:16:30",60,"wake"
"ASFODQR","2024-02-12 05:25:00",60,"wake"
"ASFODQR","2024-02-12 05:28:00",30,"wake"
"ASFODQR","2024-02-12 05:28:30",390,"light"
"ASFODQR","2024-02-12 05:35:00",360,"wake"
"ASFODQR","2024-02-12 05:41:00",210,"light"
"ASFODQR","2024-02-12 05:44:30",30,"wake"
"ASFODQR","2024-02-12 05:45:00",30,"light"
"ASFODQR","2024-02-12 05:45:30",150,"rem"
"ASFODQR","2024-02-12 05:48:00",120,"wake"
"ASFODQR","2024-02-12 06:08:00",60,"wake"
"ASFODQR","2024-02-12 06:09:00",300,"light"
"ASFODQR","2024-02-12 06:14:00",360,"wake"
"ASFODQR","2024-02-12 06:20:00",90,"light"
"ASFODQR","2024-02-12 06:21:30",450,"wake"
"ASFODQR","2024-02-12 06:29:00",540,"light"
"ASFODQR","2024-02-12 06:38:00",60,"wake"
"ASFODQR","2024-02-13 03:39:00",990,"light"
"ASFODQR","2024-02-13 03:55:30",330,"deep"
"ASFODQR","2024-02-13 04:01:00",600,"light"
"ASFODQR","2024-02-13 04:11:00",90,"wake"
"ASFODQR","2024-02-13 04:14:00",30,"wake"
"ASFODQR","2024-02-13 04:14:30",1290,"light"
"ASFODQR","2024-02-13 04:36:00",420,"rem"
"ASFODQR","2024-02-13 04:43:00",990,"light"
"ASFODQR","2024-02-13 04:59:30",270,"wake"
"ASFODQR","2024-02-13 05:04:00",660,"light"
"ASFODQR","2024-02-13 05:15:00",2370,"deep"
"ASFODQR","2024-02-13 05:54:30",30,"wake"
"ASFODQR","2024-02-13 05:55:00",150,"light"
"ASFODQR","2024-02-13 05:57:30",240,"rem"
"ASFODQR","2024-02-13 06:01:30",30,"wake"
"ASFODQR","2024-02-13 06:11:30",30,"wake"
"ASFODQR","2024-02-13 06:13:30",30,"wake"
"ASFODQR","2024-02-13 06:14:00",270,"rem"
"ASFODQR","2024-02-13 06:18:30",120,"light"
"ASFODQR","2024-02-13 06:20:30",30,"wake"
"ASFODQR","2024-02-13 06:21:00",180,"light"
"ASFODQR","2024-02-13 06:24:00",300,"rem"
"ASFODQR","2024-02-13 06:29:00",30,"wake"
"ASFODQR","2024-02-13 06:29:30",450,"light"
"ASFODQR","2024-02-13 06:37:00",420,"wake"
"ASFODQR","2024-02-13 06:44:00",60,"light"
"ASFODQR","2024-02-13 06:45:00",270,"rem"
"ASFODQR","2024-02-13 06:49:30",270,"light"
"ASFODQR","2024-02-13 06:54:00",60,"wake"
"ASFODQR","2024-02-13 06:55:00",270,"rem"
"ASFODQR","2024-02-13 06:59:30",360,"wake"
"ASFODQR","2024-02-13 07:05:30",120,"light"
"ASFODQR","2024-02-13 07:07:30",180,"wake"
"ASFODQR","2024-02-13 07:20:30",30,"wake"
"ASFODQR","2024-02-14 01:23:00",60,"asleep"
"ASFODQR","2024-02-14 01:24:00",60,"restless"
"ASFODQR","2024-02-14 01:25:00",120,"awake"
"ASFODQR","2024-02-14 01:27:00",3120,"asleep"
"ASFODQR","2024-02-14 02:19:00",60,"awake"
"ASFODQR","2024-02-14 02:20:00",240,"restless"
"ASFODQR","2024-02-14 02:24:00",240,"asleep"
"ASFODQR","2024-02-14 02:28:00",120,"restless"
"ASFODQR","2024-02-14 02:30:00",1620,"asleep"
"ASFODQR","2024-02-14 02:57:00",180,"restless"
"ASFODQR","2024-02-14 03:00:00",60,"awake"
"ASFODQR","2024-02-14 03:01:00",180,"asleep"
"ASFODQR","2024-02-14 03:04:00",60,"restless"
"ASFODQR","2024-02-14 03:05:00",240,"asleep"
"ASFODQR","2024-02-14 03:09:00",180,"restless"
"ASFODQR","2024-02-14 03:12:00",660,"asleep"
"ASFODQR","2024-02-14 05:35:00",180,"asleep"
"ASFODQR","2024-02-14 05:38:00",180,"restless"
"ASFODQR","2024-02-14 05:41:00",5640,"asleep"
"ASFODQR","2024-02-14 07:15:00",60,"restless"
"ASFODQR","2024-02-14 07:16:00",60,"asleep"
"ASFODQR","2024-02-14 07:17:00",120,"restless"
"ASFODQR","2024-02-14 07:19:00",120,"asleep"
"ASFODQR","2024-02-14 07:21:00",60,"restless"
"ASFODQR","2024-02-14 07:22:00",120,"asleep"
"ASFODQR","2024-02-14 07:24:00",60,"restless"
"ASFODQR","2024-02-14 07:25:00",720,"asleep"
"ASFODQR","2024-02-14 07:37:00",180,"restless"
"ASFODQR","2024-02-14 07:40:00",60,"asleep"
"ASFODQR","2024-02-14 07:41:00",60,"restless"
"ASFODQR","2024-02-14 07:42:00",60,"asleep"
"ASFODQR","2024-02-14 07:43:00",60,"restless"
"ASFODQR","2024-02-14 07:44:00",600,"asleep"
"ASFODQR","2024-02-14 07:54:00",60,"restless"
"ASFODQR","2024-02-15 01:52:30",60,"asleep"
"ASFODQR","2024-02-15 01:53:30",60,"awake"
"ASFODQR","2024-02-15 01:54:30",480,"asleep"
"ASFODQR","2024-02-15 02:02:30",180,"restless"
"ASFODQR","2024-02-15 02:05:30",4500,"asleep"
"ASFODQR","2024-02-15 03:20:30",120,"restless"
"ASFODQR","2024-02-15 03:22:30",540,"asleep"
"ASFODQR","2024-02-15 03:31:30",60,"awake"
"ASFODQR","2024-02-16 00:30:30",690,"wake"
"ASFODQR","2024-02-16 00:42:00",450,"light"
"ASFODQR","2024-02-16 00:49:30",30,"wake"
"ASFODQR","2024-02-16 00:50:00",150,"light"
"ASFODQR","2024-02-16 00:52:30",480,"deep"
"ASFODQR","2024-02-16 01:00:30",30,"wake"
"ASFODQR","2024-02-16 01:03:00",30,"wake"
"ASFODQR","2024-02-16 01:07:00",30,"wake"
"ASFODQR","2024-02-16 01:11:00",60,"wake"
"ASFODQR","2024-02-16 01:16:00",30,"wake"
"ASFODQR","2024-02-16 01:16:30",390,"light"
"ASFODQR","2024-02-16 01:23:00",990,"deep"
"ASFODQR","2024-02-16 01:39:30",210,"wake"
"ASFODQR","2024-02-16 01:43:00",150,"light"
"ASFODQR","2024-02-16 01:45:30",30,"wake"
"ASFODQR","2024-02-16 01:48:00",120,"wake"
"ASFODQR","2024-02-16 01:50:00",120,"light"
"ASFODQR","2024-02-16 01:52:00",240,"wake"
"ASFODQR","2024-02-16 01:56:00",300,"light"
"ASFODQR","2024-02-16 02:01:00",30,"wake"
"ASFODQR","2024-02-16 02:01:30",690,"light"
"ASFODQR","2024-02-16 02:13:00",330,"deep"
"ASFODQR","2024-02-16 02:18:30",30,"wake"
"ASFODQR","2024-02-16 02:27:30",30,"wake"
"ASFODQR","2024-02-16 02:28:00",900,"light"
"ASFODQR","2024-02-16 02:43:00",480,"wake"
"ASFODQR","2024-02-16 02:51:00",270,"light"
"ASFODQR","2024-02-16 02:55:30",1230,"rem"
"ASFODQR","2024-02-16 03:16:00",30,"wake"
"ASFODQR","2024-02-16 03:21:30",30,"wake"
"ASFODQR","2024-02-16 03:22:00",90,"rem"
"ASFODQR","2024-02-16 03:23:30",840,"light"
"ASFODQR","2024-02-16 03:37:30",30,"wake"
"ASFODQR","2024-02-16 03:54:00",30,"wake"
"ASFODQR","2024-02-16 03:54:30",1110,"light"
"ASFODQR","2024-02-16 04:13:00",330,"deep"
"ASFODQR","2024-02-16 04:18:30",270,"light"
"ASFODQR","2024-02-16 04:23:00",30,"wake"
"ASFODQR","2024-02-16 04:23:30",150,"light"
"ASFODQR","2024-02-16 04:26:00",690,"deep"
"ASFODQR","2024-02-16 04:37:30",30,"light"
"ASFODQR","2024-02-16 04:38:00",30,"wake"
"ASFODQR","2024-02-16 04:43:00",30,"wake"
"ASFODQR","2024-02-16 05:03:30",30,"wake"
"ASFODQR","2024-02-16 05:04:00",690,"light"
"ASFODQR","2024-02-16 05:15:30",510,"rem"
"ASFODQR","2024-02-16 05:24:00",90,"light"
"ASFODQR","2024-02-16 05:25:30",30,"wake"
"ASFODQR","2024-02-16 05:27:30",30,"wake"
"ASFODQR","2024-02-16 05:33:30",30,"wake"
"ASFODQR","2024-02-16 05:34:00",450,"light"
"ASFODQR","2024-02-16 05:41:30",690,"rem"
"ASFODQR","2024-02-16 05:53:00",30,"wake"
"ASFODQR","2024-02-16 05:53:30",360,"rem"
"ASFODQR","2024-02-16 05:59:30",120,"light"
"ASFODQR","2024-02-16 06:01:30",60,"wake"
"ASFODQR","2024-02-16 06:07:00",30,"wake"
"ASFODQR","2024-02-16 06:24:00",150,"wake"
"ASFODQR","2024-02-16 06:30:00",150,"wake"
"ASFODQR","2024-02-16 06:48:30",30,"wake"
"ASFODQR","2024-02-16 06:56:30",30,"wake"
"ASFODQR","2024-02-16 06:57:00",210,"light"
"ASFODQR","2024-02-16 07:00:30",270,"deep"
"ASFODQR","2024-02-16 07:05:00",30,"wake"
"ASFODQR","2024-02-16 07:15:00",30,"wake"
"ASFODQR","2024-02-16 07:15:30",300,"light"
"ASFODQR","2024-02-16 07:20:30",810,"wake"
"ASFODQR","2024-02-16 07:34:00",270,"light"
"ASFODQR","2024-02-16 07:38:30",150,"wake"
"ASFODQR","2024-02-16 07:46:00",30,"wake"
"ASFODQR","2024-02-16 07:58:30",30,"wake"
"ASFODQR","2024-02-16 08:06:00",30,"wake"
"ASFODQR","2024-02-16 08:08:30",30,"wake"
"ASFODQR","2024-02-16 08:09:00",90,"light"
"ASFODQR","2024-02-16 08:10:30",270,"rem"
"ASFODQR","2024-02-16 08:15:00",330,"wake"
"ASFODQR","2024-02-16 08:20:30",390,"light"
"ASFODQR","2024-02-16 08:27:00",30,"wake"
"ASFODQR","2024-02-16 08:27:30",270,"light"
"ASFODQR","2024-02-16 08:32:00",240,"wake"
"ASFODQR","2024-02-16 08:36:00",180,"light"
"ASFODQR","2024-02-16 08:39:00",30,"wake"
"ASFODQR","2024-02-17 01:02:30",240,"wake"
"ASFODQR","2024-02-17 01:06:30",1590,"deep"
"ASFODQR","2024-02-17 01:33:00",60,"wake"
"ASFODQR","2024-02-17 01:34:00",810,"light"
"ASFODQR","2024-02-17 01:47:30",390,"deep"
"ASFODQR","2024-02-17 01:54:00",240,"light"
"ASFODQR","2024-02-17 01:58:00",600,"rem"
"ASFODQR","2024-02-17 02:08:00",30,"wake"
"ASFODQR","2024-02-17 02:08:30",300,"rem"
"ASFODQR","2024-02-17 02:13:30",120,"light"
"ASFODQR","2024-02-17 02:15:30",60,"wake"
"ASFODQR","2024-02-17 02:16:30",180,"light"
"ASFODQR","2024-02-17 02:19:30",270,"rem"
"ASFODQR","2024-02-17 02:24:00",30,"light"
"ASFODQR","2024-02-17 02:24:30",30,"wake"
"ASFODQR","2024-02-17 02:28:30",30,"wake"
"ASFODQR","2024-02-17 02:29:00",120,"light"
"ASFODQR","2024-02-17 02:31:00",690,"deep"
"ASFODQR","2024-02-17 02:42:30",570,"light"
"ASFODQR","2024-02-17 02:52:00",60,"wake"
"ASFODQR","2024-02-17 03:10:00",60,"wake"
"ASFODQR","2024-02-17 03:14:30",60,"wake"
"ASFODQR","2024-02-17 03:18:00",60,"wake"
"ASFODQR","2024-02-17 03:23:30",30,"wake"
"ASFODQR","2024-02-17 03:24:00",300,"light"
"ASFODQR","2024-02-17 03:29:00",1200,"rem"
"ASFODQR","2024-02-17 03:49:00",30,"wake"
"ASFODQR","2024-02-18 02:02:30",120,"wake"
"ASFODQR","2024-02-18 02:04:30",60,"light"
"ASFODQR","2024-02-18 02:05:30",1440,"deep"
"ASFODQR","2024-02-18 02:29:30",1140,"light"
"ASFODQR","2024-02-18 02:48:30",60,"wake"
"ASFODQR","2024-02-18 02:49:30",300,"rem"
"ASFODQR","2024-02-18 02:54:30",30,"wake"
"ASFODQR","2024-02-18 02:55:00",420,"light"
"ASFODQR","2024-02-18 03:02:00",390,"deep"
"ASFODQR","2024-02-18 03:08:30",90,"wake"
